airport,date,key,value
SEA,2015-01-01,record-min-temp,10
SEA,2015-01-01,average-min-temp,36
SEA,2015-01-01,actual-max-temp,42
SEA,2015-01-01,record-max-temp,58
SEA,2015-01-01,actual-min-temp,26
SEA,2015-01-01,average-max-temp,46
SEA,2015-01-02,record-min-temp,6
SEA,2015-01-02,average-min-temp,36
SEA,2015-01-02,actual-max-temp,42
SEA,2015-01-02,record-max-temp,56
SEA,2015-01-02,actual-min-temp,32
SEA,2015-01-02,average-max-temp,46
AUS,2015-01-01,record-min-temp,24
AUS,2015-01-01,average-min-temp,36
AUS,2015-01-01,actual-max-temp,39
AUS,2015-01-01,record-max-temp,84
AUS,2015-01-01,actual-min-temp,35
AUS,2015-01-01,average-max-temp,62
SEA,2015-01-03,record-min-temp,6
SEA,2015-01-03,average-min-temp,36
SEA,2015-01-03,actual-max-temp,41
SEA,2015-01-03,record-max-temp,58
SEA,2015-01-03,actual-min-temp,35
SEA,2015-01-03,average-max-temp,46
AUS,2015-01-02,record-min-temp,16
AUS,2015-01-02,average-min-temp,36
AUS,2015-01-02,actual-max-temp,42
AUS,2015-01-02,record-max-temp,81
AUS,2015-01-02,actual-min-temp,38
AUS,2015-01-02,average-max-temp,62
SEA,2015-01-04,record-min-temp,14
SEA,2015-01-04,average-min-temp,36
SEA,2015-01-04,actual-max-temp,51
SEA,2015-01-04,record-max-temp,61
SEA,2015-01-04,actual-min-temp,38
SEA,2015-01-04,average-max-temp,46
BOS,2015-01-01,record-min-temp,-3
BOS,2015-01-01,average-min-temp,24
BOS,2015-01-01,actual-max-temp,33
BOS,2015-01-01,record-max-temp,70
BOS,2015-01-01,actual-min-temp,22
BOS,2015-01-01,average-max-temp,37
AUS,2015-01-03,record-min-temp,17
AUS,2015-01-03,average-min-temp,36
AUS,2015-01-03,actual-max-temp,60
AUS,2015-01-03,record-max-temp,86
AUS,2015-01-03,actual-min-temp,34
AUS,2015-01-03,average-max-temp,62
SEA,2015-01-05,record-min-temp,15
SEA,2015-01-05,average-min-temp,36
SEA,2015-01-05,actual-max-temp,54
SEA,2015-01-05,record-max-temp,55
SEA,2015-01-05,actual-min-temp,49
SEA,2015-01-05,average-max-temp,46
BOS,2015-01-02,record-min-temp,-3
BOS,2015-01-02,average-min-temp,23
BOS,2015-01-02,actual-max-temp,41
BOS,2015-01-02,record-max-temp,66
BOS,2015-01-02,actual-min-temp,31
BOS,2015-01-02,average-max-temp,37
SEA,2015-01-06,record-min-temp,14
SEA,2015-01-06,average-min-temp,37
SEA,2015-01-06,actual-max-temp,54
SEA,2015-01-06,record-max-temp,57
SEA,2015-01-06,actual-min-temp,43
SEA,2015-01-06,average-max-temp,46
AUS,2015-01-04,record-min-temp,15
AUS,2015-01-04,average-min-temp,36
AUS,2015-01-04,actual-max-temp,51
AUS,2015-01-04,record-max-temp,80
AUS,2015-01-04,actual-min-temp,29
AUS,2015-01-04,average-max-temp,62
BOS,2015-01-03,record-min-temp,-1
BOS,2015-01-03,average-min-temp,23
BOS,2015-01-03,actual-max-temp,37
BOS,2015-01-03,record-max-temp,64
BOS,2015-01-03,actual-min-temp,22
BOS,2015-01-03,average-max-temp,37
SEA,2015-01-07,record-min-temp,19
SEA,2015-01-07,average-min-temp,37
SEA,2015-01-07,actual-max-temp,46
SEA,2015-01-07,record-max-temp,59
SEA,2015-01-07,actual-min-temp,42
SEA,2015-01-07,average-max-temp,46
AUS,2015-01-05,record-min-temp,14
AUS,2015-01-05,average-min-temp,36
AUS,2015-01-05,actual-max-temp,51
AUS,2015-01-05,record-max-temp,78
AUS,2015-01-05,actual-min-temp,24
AUS,2015-01-05,average-max-temp,62
BOS,2015-01-04,record-min-temp,-4
BOS,2015-01-04,average-min-temp,23
BOS,2015-01-04,actual-max-temp,52
BOS,2015-01-04,record-max-temp,64
BOS,2015-01-04,actual-min-temp,35
BOS,2015-01-04,average-max-temp,36
SEA,2015-01-08,record-min-temp,18
SEA,2015-01-08,average-min-temp,37
SEA,2015-01-08,actual-max-temp,46
SEA,2015-01-08,record-max-temp,54
SEA,2015-01-08,actual-min-temp,35
SEA,2015-01-08,average-max-temp,46
AUS,2015-01-06,record-min-temp,20
AUS,2015-01-06,average-min-temp,36
AUS,2015-01-06,actual-max-temp,68
AUS,2015-01-06,record-max-temp,84
AUS,2015-01-06,actual-min-temp,31
AUS,2015-01-06,average-max-temp,62
BOS,2015-01-05,record-min-temp,-4
BOS,2015-01-05,average-min-temp,23
BOS,2015-01-05,actual-max-temp,50
BOS,2015-01-05,record-max-temp,63
BOS,2015-01-05,actual-min-temp,17
BOS,2015-01-05,average-max-temp,36
SEA,2015-01-09,record-min-temp,13
SEA,2015-01-09,average-min-temp,37
SEA,2015-01-09,actual-max-temp,50
SEA,2015-01-09,record-max-temp,56
SEA,2015-01-09,actual-min-temp,38
SEA,2015-01-09,average-max-temp,46
BOS,2015-01-06,record-min-temp,-10
BOS,2015-01-06,average-min-temp,23
BOS,2015-01-06,actual-max-temp,18
BOS,2015-01-06,record-max-temp,69
BOS,2015-01-06,actual-min-temp,15
BOS,2015-01-06,average-max-temp,36
SEA,2015-01-10,record-min-temp,12
SEA,2015-01-10,average-min-temp,37
SEA,2015-01-10,actual-max-temp,46
SEA,2015-01-10,record-max-temp,59
SEA,2015-01-10,actual-min-temp,43
SEA,2015-01-10,average-max-temp,47
AUS,2015-01-07,record-min-temp,12
AUS,2015-01-07,average-min-temp,36
AUS,2015-01-07,actual-max-temp,51
AUS,2015-01-07,record-max-temp,80
AUS,2015-01-07,actual-min-temp,30
AUS,2015-01-07,average-max-temp,62
BOS,2015-01-07,record-min-temp,-2
BOS,2015-01-07,average-min-temp,23
BOS,2015-01-07,actual-max-temp,26
BOS,2015-01-07,record-max-temp,63
BOS,2015-01-07,actual-min-temp,4
BOS,2015-01-07,average-max-temp,36
AUS,2015-01-08,record-min-temp,13
AUS,2015-01-08,average-min-temp,36
AUS,2015-01-08,actual-max-temp,37
AUS,2015-01-08,record-max-temp,81
AUS,2015-01-08,actual-min-temp,21
AUS,2015-01-08,average-max-temp,62
SEA,2015-01-11,record-min-temp,12
SEA,2015-01-11,average-min-temp,37
SEA,2015-01-11,actual-max-temp,49
SEA,2015-01-11,record-max-temp,59
SEA,2015-01-11,actual-min-temp,45
SEA,2015-01-11,average-max-temp,47
BOS,2015-01-08,record-min-temp,-6
BOS,2015-01-08,average-min-temp,22
BOS,2015-01-08,actual-max-temp,19
BOS,2015-01-08,record-max-temp,67
BOS,2015-01-08,actual-min-temp,-1
BOS,2015-01-08,average-max-temp,36
AUS,2015-01-09,record-min-temp,10
AUS,2015-01-09,average-min-temp,36
AUS,2015-01-09,actual-max-temp,39
AUS,2015-01-09,record-max-temp,84
AUS,2015-01-09,actual-min-temp,34
AUS,2015-01-09,average-max-temp,62
SEA,2015-01-12,record-min-temp,13
SEA,2015-01-12,average-min-temp,37
SEA,2015-01-12,actual-max-temp,52
SEA,2015-01-12,record-max-temp,59
SEA,2015-01-12,actual-min-temp,40
SEA,2015-01-12,average-max-temp,47
BOS,2015-01-09,record-min-temp,-4
BOS,2015-01-09,average-min-temp,22
BOS,2015-01-09,actual-max-temp,30
BOS,2015-01-09,record-max-temp,64
BOS,2015-01-09,actual-min-temp,19
BOS,2015-01-09,average-max-temp,36
AUS,2015-01-10,record-min-temp,13
AUS,2015-01-10,average-min-temp,36
AUS,2015-01-10,actual-max-temp,37
AUS,2015-01-10,record-max-temp,86
AUS,2015-01-10,actual-min-temp,32
AUS,2015-01-10,average-max-temp,62
SEA,2015-01-13,record-min-temp,11
SEA,2015-01-13,average-min-temp,37
SEA,2015-01-13,actual-max-temp,49
SEA,2015-01-13,record-max-temp,56
SEA,2015-01-13,actual-min-temp,37
SEA,2015-01-13,average-max-temp,47
BOS,2015-01-10,record-min-temp,-3
BOS,2015-01-10,average-min-temp,22
BOS,2015-01-10,actual-max-temp,24
BOS,2015-01-10,record-max-temp,56
BOS,2015-01-10,actual-min-temp,17
BOS,2015-01-10,average-max-temp,36
AUS,2015-01-11,record-min-temp,14
AUS,2015-01-11,average-min-temp,36
AUS,2015-01-11,actual-max-temp,49
AUS,2015-01-11,record-max-temp,85
AUS,2015-01-11,actual-min-temp,35
AUS,2015-01-11,average-max-temp,62
SEA,2015-01-14,record-min-temp,8
SEA,2015-01-14,average-min-temp,37
SEA,2015-01-14,actual-max-temp,43
SEA,2015-01-14,record-max-temp,59
SEA,2015-01-14,actual-min-temp,33
SEA,2015-01-14,average-max-temp,47
AUS,2015-01-12,record-min-temp,12
AUS,2015-01-12,average-min-temp,36
AUS,2015-01-12,actual-max-temp,47
AUS,2015-01-12,record-max-temp,80
AUS,2015-01-12,actual-min-temp,42
AUS,2015-01-12,average-max-temp,62
BOS,2015-01-11,record-min-temp,-4
